cliente_id,nombre,edad,genero,distrito,email,fecha_registro,nivel_membresia
C0049,Heliodoro Nazaret Bayo Fernández,23,M,San Isidro,prietomaria-del-carmen@hotmail.com,2022-07-14,Platinum
C0050,Máximo Cesar Morillo Romeu,29,M,Los Olivos,fmartin@mateu-rubio.net,2022-10-13,Platinum
C0051,Carmelo Folch Parra,18,M,SJL,loida21@carballo.es,2024-04-07,Básico
C0052,Florencio Manuel Porta,33,M,Surquillo,chaparroelisa@gmail.com,2022-01-16,Básico
C0053,Geraldo Gomez,21,M,Breña,nogueraadelina@gmail.com,2023-05-13,Platinum
C0054,Jerónimo Ferrández Chaparro,28,M,San Miguel,rlillo@gmail.com,2022-03-02,Silver
C0055,Leyre Olmo Bou,16,F,Breña,tudelamicaela@yahoo.com,2022-09-29,Platinum
C0056,Vicenta Guillén,29,F,Comas,victorcastillo@carbo.com,2024-01-19,Platinum
C0057,Mario Torralba,22,M,La Molina,nuneznilda@gmail.com,2022-08-11,Básico
C0058,Lupe Escolano Saavedra,26,M,Miraflores,anabel77@baron.com,2022-02-21,Platinum
C0059,Rogelio del Escribano,17,M,Lince,dibanez@miranda.es,2022-03-24,Silver
C0060,Ariel Juliá Jordán,35,M,Surco,eli29@gmail.com,2023-11-23,Silver
C0061,Georgina Ortiz Carro,19,F,San Miguel,dbueno@sacristan.es,2023-08-07,Silver
C0062,Héctor Correa Varela,35,M,Surco,pliniodominguez@hotmail.com,2023-03-06,Gold
C0063,Jacinta Tomé Coloma,22,F,Callao,guadalupevega@angulo-guzman.org,2024-01-04,Gold
C0064,Calixto Torrent,24,M,Breña,msantana@plana.org,2022-05-15,Gold
C0065,Verónica Atienza Barrena,26,F,San Miguel,dmanzanares@gmail.com,2024-02-09,Básico
C0066,Eugenio Gimenez Bolaños,30,M,San Borja,nayara13@calvet.com,2023-07-31,Básico
C0067,Iván Cámara Cuevas,33,M,San Isidro,carla74@hotmail.com,2023-06-03,Gold
C0068,Gregorio Álvaro Llobet,27,M,San Miguel,marisolnavas@palomar.org,2022-03-12,Silver
C0069,Constanza Mendizábal,25,F,Los Olivos,tomasjenaro@hotmail.com,2023-03-25,Gold
C0070,Tristán Jurado-Querol,33,M,La Molina,demetrio37@gmail.com,2023-11-11,Básico
C0071,Augusto Villalonga Merino,24,M,Surco,obueno@gmail.com,2022-04-20,Silver
C0072,Azahar Conde Haro,25,F,San Borja,vharo@gmail.com,2022-08-04,Gold
C0073,Buenaventura Bustamante Crespo,24,M,Lince,domingoramiro@gmail.com,2023-05-16,Gold
C0074,Tomás Joan Donaire Bayona,18,M,Callao,nunezroxana@hotmail.com,2023-03-10,Gold
C0075,Albino Carbajo,16,M,Jesús María,ubru@sainz.org,2024-02-29,Silver
C0076,Antonia Coloma Peral,21,F,Comas,wilfredo26@pavon-borrell.es,2023-03-29,Platinum
C0077,Aarón Lillo-Ripoll,19,M,Surco,jose-mariagarrido@yahoo.com,2023-12-09,Silver
C0078,Blas Sancho Gonzalo,27,M,San Borja,petrona05@gmail.com,2023-07-20,Silver
C0079,Lucía Iglesias-Casares,20,F,Miraflores,agustinvelasco@gmail.com,2022-11-12,Gold
C0080,Luciano Toledo Valverde,27,M,San Isidro,heriberto72@gmail.com,2023-11-30,Silver
C0081,Germán del Simó,27,M,Pueblo Libre,wmoraleda@hotmail.com,2023-07-28,Platinum
C0082,Rogelio Ayala-Crespo,23,M,Surquillo,dsalamanca@gmail.com,2022-06-16,Silver
C0083,Imelda Portillo-Gual,16,F,Los Olivos,vbosch@julian.net,2024-01-25,Gold
C0084,Patricia Alcaraz,23,F,La Molina,mgonzalez@salgado.com,2022-06-13,Básico
C0085,Florinda Quirós Muro,17,F,Surquillo,qluna@gordillo.es,2023-04-27,Silver
C0086,Chucho Muro Pedrosa,30,M,Jesús María,fabiana68@gmail.com,2022-11-09,Silver
C0087,Ceferino Osorio Lorenzo,16,M,Callao,esthermontana@cardona.es,2022-07-17,Platinum
C0088,Martina de Planas,24,F,Surquillo,pedrozabala@gmail.com,2022-03-13,Gold
C0089,Cloe Suarez Barral,32,F,Breña,vsastre@yahoo.com,2023-11-27,Gold
C0090,Virgilio Fabio Hervás Ribes,19,M,San Miguel,adelina34@calderon.com,2022-09-25,Silver
C0091,Azahara Mesa Perera,17,F,Surco,emelinacerdan@alcazar.com,2023-09-03,Platinum
C0092,Adelia Hurtado Ledesma,26,F,Breña,jose-angelfortuny@oliva.com,2023-09-13,Básico
C0093,Rebeca Coello Reguera,34,F,San Isidro,luisabelmonte@rivero.com,2022-09-18,Básico
C0094,María Belén Alcántara Zorrilla,16,F,Lince,luciana03@barriga.com,2024-04-05,Silver
C0095,Ana Maldonado Salom,29,F,Surco,abrahamibanez@mir.net,2023-11-12,Gold
C0096,Noelia Valencia Borja,19,F,Comas,areguera@gmail.com,2022-11-04,Gold
C0097,Marita Castro Alfaro,26,F,Breña,buenodionisia@avila.com,2023-12-15,Gold
C0098,Humberto Gordillo-Poza,22,M,Breña,candido49@cano.org,2023-11-12,Platinum
C0099,Lucio Bárcena Vilalta,35,M,San Borja,jaumelazaro@duque-lago.com,2022-11-05,Platinum
C0100,Amado David Valencia Chaparro,25,M,La Molina,loreto86@hotmail.com,2022-08-04,Platinum
C0101,Paloma Jara,30,F,SJL,mariscalrosalinda@hotmail.com,2023-03-29,Silver
C0102,Trinidad Cruz Valdés,21,F,Callao,pascualgamez@yahoo.com,2022-03-28,Gold
C0103,Bernardita Quesada Arellano,18,F,Surquillo,gironamiguel-angel@diego.com,2024-02-09,Silver
C0104,Valentina Quero Agudo,23,F,Pueblo Libre,pinillacarlos@hotmail.com,2022-07-23,Silver
C0105,Wilfredo Abellán Lopez,17,M,San Isidro,uribelope@palau.com,2023-05-02,Básico
C0106,Asunción Bolaños Ramos,29,F,San Miguel,amadotaboada@gmail.com,2023-10-07,Silver
C0107,Gertrudis Mosquera Aguilera,31,F,Breña,pontamador@yahoo.com,2022-09-07,Silver
C0108,Luis Nicolás Guitart Pellicer,19,M,Pueblo Libre,cantonprimitivo@ugarte.com,2023-03-12,Silver
C0109,Ruperto Manjón,32,M,SJL,walter16@amaya-torrens.com,2022-02-21,Silver
C0110,León Vicens Camino,30,M,Los Olivos,gracia71@montalban.com,2024-03-31,Platinum
C0111,Isaura Luz Pascual Botella,30,F,San Borja,nperez@pereira.org,2024-04-14,Platinum
C0112,Soledad Serra Carvajal,21,F,Comas,ncanovas@hotmail.com,2024-06-01,Platinum
C0113,Selena Priscila Ojeda García,24,F,Pueblo Libre,gracia15@gmail.com,2022-09-11,Gold
C0114,Pilar Quevedo Moliner,23,F,La Molina,herranzjennifer@silva.net,2023-03-27,Básico
C0115,Lourdes Seco Benavente,23,F,La Molina,tejeroazucena@mayo.org,2022-12-10,Gold
C0116,Julio César Cosme Tudela Blanca,20,M,Los Olivos,halbero@hotmail.com,2022-08-25,Platinum
C0117,Sebastian Monreal Vaquero,22,M,Surco,carrionrenato@riquelme.net,2023-03-01,Platinum
C0118,Zoraida Teresita Gimenez Cerro,33,F,SJL,nconesa@gmail.com,2023-03-02,Básico
C0119,Sabas Rodriguez-Llopis,29,M,Breña,camilo97@murcia.es,2024-02-28,Básico
C0120,Carmela Zaragoza Domínguez,31,F,Miraflores,silvestregutierrez@camacho-pellicer.org,2022-12-27,Gold
C0121,Loreto Meléndez Juárez,29,F,Lince,rpadilla@atienza-elorza.com,2024-02-05,Silver
C0122,Roberta Echevarría Ripoll,23,F,La Molina,edelmiraibanez@hotmail.com,2023-03-23,Platinum
C0123,Atilio Rubio-Carbó,28,M,Jesús María,tiradooscar@hotmail.com,2023-11-16,Platinum
C0124,Luis Ángel Jordán Rueda,30,M,San Miguel,tapiaporfirio@ayuso.com,2022-05-11,Básico
C0125,Modesta Manjón Cadenas,34,F,San Borja,lucilacanete@yahoo.com,2023-11-10,Básico
C0126,Dionisio Aguado Zaragoza,29,M,Los Olivos,eva-mariabalaguer@yahoo.com,2024-06-06,Platinum
C0127,Ovidio del Corbacho,17,M,La Molina,maciaspedro@yahoo.com,2023-01-24,Gold
C0128,Vidal Luque Salmerón,30,M,Jesús María,hernancarbajo@yahoo.com,2022-12-12,Platinum
C0129,Rita Nicolau Castro,29,F,La Molina,silvio58@yahoo.com,2024-05-04,Básico
C0130,Julia de Lopez,16,F,Comas,raulbatlle@bravo.org,2023-07-07,Básico
C0131,Javiera Fuentes Vall,23,F,Callao,pcanet@yahoo.com,2022-03-12,Básico
C0132,René Corral Mármol,23,M,San Isidro,borja36@gmail.com,2024-05-09,Básico
C0133,Reyes Vilalta Juliá,23,M,Los Olivos,ipalomar@rodrigo.es,2023-04-30,Básico
C0134,Gabino Soler Mármol,30,M,Comas,juan-carlos76@yahoo.com,2022-09-20,Gold
C0135,Alcides Pepe Vázquez Lucena,35,M,San Borja,qsoto@hotmail.com,2024-02-05,Básico
C0136,Geraldo Rius Francisco,25,M,Surco,edelmiroalegria@gmail.com,2023-08-16,Básico
C0137,Cruz Orozco Nogués,34,F,Callao,zfeliu@castells.es,2023-01-20,Platinum
C0138,Abraham de Angulo,18,M,San Borja,maxi64@gmail.com,2023-12-09,Silver
C0139,Gaspar Jaume Quesada,25,M,Surquillo,wmarco@hotmail.com,2023-12-02,Básico
C0140,Alex Rius Bastida,27,M,Lince,evangelinaarias@casals-madrigal.org,2023-03-15,Gold
C0141,Armando Villalonga Zaragoza,32,M,Callao,mgaliano@hotmail.com,2022-12-16,Básico
C0142,Anabel Báez Marti,31,F,Surco,fernando05@gmail.com,2023-03-20,Gold
C0143,Beatriz del Castelló,20,F,Breña,manuvinas@bernat.es,2022-06-30,Gold
C0144,Paola Llopis Arellano,30,F,Breña,bcasado@yahoo.com,2024-04-25,Gold
C0145,Rufina Teresita Ibañez Vergara,23,F,Surquillo,castanedapiedad@mir-caro.com,2022-03-30,Gold
C0146,Flavia Gallo Roda,23,F,Pueblo Libre,mbanos@gmail.com,2023-04-21,Platinum
C0147,Olimpia Pulido Vergara,16,F,SJL,sobrinovictoria@juan.es,2024-05-21,Gold
C0148,Zacarías Lluch Leon,31,M,San Isidro,iban05@hotmail.com,2022-12-30,Gold
C0149,Saturnina Bueno Llamas,24,F,San Miguel,penasrene@avila-baquero.es,2023-09-03,Gold
C0150,Isaac Marquez,32,M,San Isidro,domitila55@nebot.es,2022-03-29,Silver
C0151,Haydée Tenorio Sala,31,F,Lince,barceloemigdio@badia-angulo.com,2024-02-16,Silver
C0152,Diana de Iborra,31,F,SJL,guiomarguzman@esteve.es,2024-03-22,Básico
C0153,Galo Riquelme Canals,25,M,San Isidro,vvarela@hotmail.com,2023-02-19,Silver
C0154,Nazaret Casanovas Fortuny,34,F,Jesús María,hpalacios@soria.com,2023-04-30,Gold
C0155,Paz Manrique Castro,33,F,Jesús María,manzanozaira@cabrero-vilalta.com,2022-12-27,Platinum
C0156,Edelmira Arnal Castell,25,F,La Molina,paniaguasamanta@cespedes.com,2022-08-25,Básico
C0157,Natanael Reguera Tejero,26,M,Surco,martin31@yahoo.com,2024-01-31,Silver
C0158,Edelmiro Borja Miranda,22,M,Comas,domitila17@gmail.com,2023-05-11,Gold
C0159,Lorenza Ripoll-Pou,19,F,Surquillo,tflor@palma.es,2022-07-18,Gold
C0160,José Mari Céspedes Rueda,27,M,Los Olivos,palmasalome@herrero.es,2022-11-06,Básico
C0161,Blas de Iglesias,24,M,Miraflores,ferranmarino@gmail.com,2022-02-25,Gold
C0162,Iván Rovira-Angulo,31,M,Surco,zdaza@gmail.com,2024-06-12,Básico
C0163,Obdulia Delfina Viñas Múgica,31,F,SJL,vilaplanaclaudio@yahoo.com,2023-03-28,Gold
C0164,Moreno Plaza Cabo,17,M,La Molina,murcarlos@hotmail.com,2024-06-01,Platinum
C0165,Mateo del Cepeda,18,M,Breña,vicentealberdi@gmail.com,2023-05-19,Básico
C0166,Dani del Balaguer,20,M,Los Olivos,augustoarnau@chico-aguado.org,2024-04-10,Gold
C0167,Florencio Gilabert,23,M,Surco,tarana@prat.org,2023-07-26,Platinum
C0168,Ildefonso Carretero-Caro,32,M,Breña,natanaeltorralba@yahoo.com,2023-04-07,Platinum
C0169,Cristina Berenguer Santana,34,F,Breña,nprieto@tapia.com,2022-11-09,Básico
C0170,Andrés Felipe Guardia Almansa,22,M,Callao,aroavizcaino@gmail.com,2022-08-05,Gold
C0171,Leoncio Dalmau,21,M,San Isidro,canellasolegario@gmail.com,2022-06-27,Básico
C0172,Isaac Díaz-Román,16,M,Breña,sevearagones@hotmail.com,2023-04-07,Platinum
C0173,Angélica del Bárcena,17,F,San Isidro,inocencioperez@buendia.com,2022-10-23,Gold
C0174,Alba Casado Luna,18,F,Callao,conrado63@yahoo.com,2022-08-28,Gold
C0175,Artemio Narváez Morell,29,M,Surco,octaviaguitart@goni.com,2023-07-12,Silver
C0176,Diego Iniesta Lara,24,M,Surquillo,jose-manuel76@yahoo.com,2022-05-26,Básico
C0177,Porfirio Vicens-Casal,21,M,Pueblo Libre,flavio52@yahoo.com,2022-11-11,Gold
C0178,Carla Antón Carbonell,19,F,SJL,virgilio86@barreda.net,2023-12-07,Gold
C0179,Yéssica de Artigas,24,F,Lince,alba14@ortega.com,2023-07-07,Platinum
C0180,Leonor Peñalver Luján,18,F,San Borja,violetarosello@hotmail.com,2022-02-10,Platinum
C0181,Paz Tamayo Díez,35,F,La Molina,ppalau@vicente.com,2022-01-27,Básico
C0182,Gil Leal Diego,34,M,San Borja,vfigueras@hotmail.com,2022-01-22,Gold
C0183,Heraclio Álvaro Domingo,21,M,SJL,hmaza@yahoo.com,2023-06-16,Platinum
C0184,Melania Mas,21,F,San Borja,parejayesica@landa-agudo.com,2023-03-23,Platinum
C0185,Marcos Manrique Badía,31,M,Jesús María,agracia@hotmail.com,2023-02-23,Gold
C0186,María Carmen Palomo Llanos,19,F,Surquillo,oferreras@hotmail.com,2022-06-14,Gold
C0187,Olga Menendez Benitez,31,F,La Molina,guijarromoises@hotmail.com,2023-11-10,Platinum
C0188,Bonifacio Cervantes Haro,30,M,Surco,jribes@ferrera-pintor.com,2022-11-19,Gold
C0189,Ramona Alcántara-Bueno,19,F,Pueblo Libre,ybermejo@gmail.com,2023-02-18,Básico
C0190,Dolores de Querol,29,F,Miraflores,antoniavaldes@hotmail.com,2022-07-12,Gold
C0191,Teodora del Contreras,30,F,Pueblo Libre,galegria@gmail.com,2022-02-22,Silver
C0192,Amanda de Valencia,33,F,Los Olivos,gallegoazahara@mayoral-pellicer.org,2022-10-22,Platinum
C0193,Ramona Peiró Bejarano,19,F,Miraflores,sarino@buendia.com,2023-10-08,Silver
C0194,Flavio Ibarra Blázquez,25,M,Lince,valenciaerasmo@yahoo.com,2022-01-15,Platinum
C0195,Curro Solís Alarcón,23,M,Surquillo,concepcionamigo@salmeron-sala.es,2022-04-27,Platinum
C0196,Lisandro Amorós Garrido,20,M,SJL,kike81@gmail.com,2024-01-04,Gold
C0197,Alma Marco Ochoa,29,F,Surquillo,felicianapellicer@hotmail.com,2023-05-10,Platinum
C0198,Nicanor Rueda Olivé,30,M,Lince,sblanes@hotmail.com,2022-05-29,Platinum
C0199,Marcelino Toro-Arribas,35,M,Lince,lmadrid@valls-pla.net,2024-02-04,Silver
C0200,Loreto Arribas Peña,24,M,Pueblo Libre,bruno48@yahoo.com,2024-03-19,Platinum
C0201,Iris Campoy Berrocal,32,F,La Molina,ftoledo@gmail.com,2024-04-20,Básico
C0202,Luz de Plaza,25,F,Surquillo,millananunciacion@gmail.com,2023-08-25,Platinum
C0203,Fulgencio Aristides Sacristán Estevez,30,M,Lince,paco33@yahoo.com,2023-05-11,Gold
C0204,Tomasa Tomé Arco,33,F,Pueblo Libre,amorosamor@hotmail.com,2023-07-11,Platinum
C0205,Narcisa Barón-Montaña,26,F,Surquillo,cervantesiris@hotmail.com,2022-07-13,Silver
C0206,María Carmen Figueras Pomares,23,F,Surquillo,maxi88@yahoo.com,2024-03-05,Platinum
C0207,Severino Narváez Acero,26,M,Comas,jesusa57@carnero.es,2023-04-30,Platinum
C0208,Eufemia Abril Canals,20,F,SJL,montserratzaragoza@montoya.net,2022-02-07,Silver
C0209,Jennifer Izaguirre,19,F,Surquillo,emolins@fabra-menendez.es,2024-05-15,Platinum
C0210,Albano Raya Piña,32,M,San Miguel,vinapascual@gmail.com,2023-04-13,Básico
C0211,Maximino Salas,29,M,Surquillo,yalonso@gmail.com,2023-11-02,Silver
C0212,Graciano Maxi Valverde Marin,31,M,Pueblo Libre,mirandaelisabet@rivero.com,2022-09-29,Gold
C0213,Marina Plaza Ferrera,18,F,Surquillo,oagullo@yahoo.com,2022-12-03,Platinum
C0214,Leonor Alvarado Seco,31,F,Surquillo,martirio04@cantero-alvarez.com,2023-07-09,Básico
C0215,Marciano Agustín,23,M,Callao,raul90@yahoo.com,2023-12-02,Gold
C0216,Simón Segismundo Buendía Ros,18,M,Breña,lmurcia@hotmail.com,2022-04-11,Básico
C0217,Sol Alemán Gallardo,21,F,Comas,heraclio66@yahoo.com,2022-11-03,Básico
C0218,Nico Ibán Morata Abascal,26,M,Pueblo Libre,eligiayanez@pavon-molina.net,2022-02-27,Gold
C0219,Piedad Benavides-Alegria,27,F,Breña,valencianoangeles@castro.org,2022-05-30,Silver
C0220,Paulina Sarabia,34,F,Callao,sandovallidia@alcala.net,2024-03-22,Silver
C0221,Gil Patricio Casanova Barrena,21,M,Surco,porfiriosierra@hotmail.com,2023-09-17,Platinum
C0222,Edgardo Esteban Tejero,31,M,San Miguel,svalenzuela@quintero.net,2023-08-21,Silver
C0223,Samuel Pallarès Montenegro,30,M,Callao,tsegura@hotmail.com,2022-09-18,Platinum
C0224,Purificación Viña Puga,16,F,San Miguel,isaiaspalacio@villar.com,2024-04-03,Platinum
C0225,Micaela Calleja-Nicolás,33,F,Los Olivos,alvareznilda@rodriguez.org,2022-03-17,Platinum
C0226,Nidia Suárez Anguita,34,F,La Molina,fcheca@bolanos.es,2023-10-17,Platinum
C0227,Jacinta Itziar Bellido Gimenez,30,F,Surquillo,francotomasa@yahoo.com,2022-11-06,Silver
C0228,Eva Salas Andres,31,F,Surco,natividadbriones@llorens.es,2022-08-31,Platinum
C0229,Emma Expósito,34,F,La Molina,macarena73@duenas.es,2023-12-18,Gold
C0230,Alejandro Marqués Vizcaíno,28,M,La Molina,ygracia@yahoo.com,2022-01-09,Básico
C0231,Brunilda del Cuéllar,25,F,Pueblo Libre,arjonaadalberto@arnaiz.com,2024-03-29,Silver
C0232,Luisina Villa Abascal,23,F,Callao,tere11@hotmail.com,2022-07-14,Gold
C0233,Mario Yáñez-Aragón,19,M,San Miguel,tomasa10@seco-pastor.es,2023-10-05,Básico
C0234,Paz Serna Montoya,30,F,Miraflores,jovita10@gmail.com,2023-08-17,Gold
C0235,Juan Carlos Casemiro Vara Alberdi,18,M,San Miguel,danilo56@mena-cabanas.net,2022-10-30,Gold
C0236,Clotilde Vidal Coronado,21,F,San Isidro,danilo11@barroso.com,2022-05-16,Gold
C0237,Encarnación Bibiana Diez Infante,21,F,La Molina,gcosta@yahoo.com,2024-04-24,Platinum
C0238,Albina Lorenzo,26,F,Pueblo Libre,aribera@yahoo.com,2022-04-28,Platinum
C0239,Eusebio Murillo-Lobato,20,M,Pueblo Libre,obaez@gmail.com,2022-08-20,Platinum
C0240,Araceli Giralt Tejero,18,F,Pueblo Libre,amarino@yahoo.com,2023-02-09,Básico
C0241,Etelvina Gil Llorente,33,F,Surco,lillovictor@mata.com,2023-04-11,Gold
C0242,Esperanza Vazquez Bas,34,F,Breña,xpinedo@gmail.com,2024-04-22,Gold
C0243,Edelmiro Espada Vara,23,M,SJL,teodorogimenez@gmail.com,2022-01-26,Gold
C0244,Eutimio Moliner,18,M,Callao,jose-antonioroldan@blasco.es,2024-04-23,Platinum
C0245,Emelina Olivares Díaz,29,F,Surco,arteagaalberto@hotmail.com,2022-05-24,Básico
C0246,Nazaret Velasco Olmedo,25,M,SJL,juanitaquiroga@blanch.net,2022-04-29,Básico
C0247,Álvaro de Posada,33,M,Los Olivos,uexposito@hotmail.com,2023-02-02,Platinum
C0248,Flora Ballester Paz,33,F,Breña,aroa42@goni-moran.com,2023-08-25,Silver
C0249,Margarita Vicente-Daza,19,F,Surquillo,amorbeltran@gmail.com,2023-05-17,Platinum
C0250,Áurea Arjona Santos,17,F,Comas,isabela35@hotmail.com,2023-01-15,Silver
C0251,Maricela Díaz-Aroca,30,F,San Isidro,zapatajordan@leiva.com,2024-05-25,Gold
C0252,Curro Arribas Miró,27,M,Lince,herminiaparedes@parejo.com,2023-10-23,Gold
C0253,Lisandro Moisés Ramis Barba,28,M,La Molina,sacristandavid@hotmail.com,2022-07-14,Básico
C0254,Isabel Amorós-Llorens,18,F,Callao,vanesa14@yahoo.com,2022-08-06,Básico
C0255,Albert Beltran Maza,26,M,San Isidro,malfaro@yahoo.com,2022-05-09,Silver
C0256,Trinidad Llano Guerrero,33,M,San Isidro,maria-jesus95@gmail.com,2023-08-24,Silver
C0257,Toño Ariño Madrigal,26,M,Pueblo Libre,omurillo@gmail.com,2022-06-01,Básico
C0258,Florina de Rico,20,F,Los Olivos,eugenio84@hotmail.com,2023-07-08,Gold
C0259,Erasmo Blas Moya Llanos,19,M,Callao,edelmira18@castillo-jauregui.com,2024-06-06,Básico
C0260,Conrado Omar Barbero Agudo,16,M,Jesús María,renata46@gmail.com,2024-03-19,Silver
C0261,Esmeralda Echeverría,16,F,Los Olivos,calderoncristian@yahoo.com,2022-09-29,Básico
C0262,Fulgencio Páez Vélez,29,M,Lince,gabinofortuny@yahoo.com,2022-04-27,Básico
C0263,Olivia Domínguez Sebastián,30,F,Pueblo Libre,alamomaria-luisa@villar-alfonso.com,2023-01-06,Básico
C0264,María José Sosa Salgado,32,F,San Isidro,natividadcueto@hotmail.com,2023-09-22,Básico
C0265,África Artigas Huerta,30,F,Callao,cuellartono@yahoo.com,2022-02-01,Básico
C0266,Sol Llano Tejada,28,F,Breña,felipa47@carretero-almazan.com,2023-12-04,Básico
C0267,Edelmira Ramón Miguel,30,F,Surco,miguelviana@yahoo.com,2022-03-24,Gold
C0268,Ruben Ayala,18,M,Los Olivos,plinio55@hotmail.com,2022-10-09,Gold
C0269,Dolores Casado Anaya,35,F,Lince,ema17@calderon-heredia.org,2022-10-29,Platinum
C0270,Esperanza Marí,19,F,Pueblo Libre,flora12@hotmail.com,2023-12-20,Básico
C0271,Ariel Ribera-Castell,29,M,SJL,miriamsarmiento@hotmail.com,2022-08-22,Platinum
C0272,Lupe Andres Requena,30,F,Breña,bernadalfonso@pelayo.com,2023-03-02,Básico
C0273,Azeneth Susana Rozas Frías,29,F,Jesús María,walmansa@olive-canete.es,2023-11-13,Gold
C0274,Manu Royo Blanca,20,F,Callao,esperanzajimenez@gmail.com,2023-05-01,Básico
